method,case_id,stratum,query_pt,target_hpo_id,target_rank,latency_ms,candidate_count,invalid_id_count,invalid_hpo_ids,top_hpo_ids
exact,OFF-01,official_label,Microcefalia,HP:0000252,1,0.957,1,0,[],"[""HP:0000252""]"
exact,OFF-02,official_label,Macrocefalia,HP:0000256,1,0.808,1,0,[],"[""HP:0000256""]"
exact,OFF-03,official_label,Estrabismo,HP:0000486,1,0.881,1,0,[],"[""HP:0000486""]"
exact,OFF-04,official_label,Catarata,HP:0000518,1,0.556,1,0,[],"[""HP:0000518""]"
exact,OFF-05,official_label,Cegueira,HP:0000618,1,0.47,1,0,[],"[""HP:0000618""]"
exact,OFF-06,official_label,Hipertensão,HP:0000822,1,0.494,1,0,[],"[""HP:0000822""]"
exact,OFF-07,official_label,Escoliose torácica,HP:0002943,1,0.446,1,0,[],"[""HP:0002943""]"
exact,OFF-08,official_label,Fraqueza muscular generalizada,HP:0003324,1,0.433,1,0,[],"[""HP:0003324""]"
exact,OFF-09,official_label,Dor lombar,HP:0003419,1,0.441,1,0,[],"[""HP:0003419""]"
exact,OFF-10,official_label,Baixa estatura,HP:0004322,1,0.422,1,0,[],"[""HP:0004322""]"
exact,ORT-01,orthographic_variation,micro cefalia,HP:0000252,,0.408,0,0,[],[]
exact,ORT-02,orthographic_variation,macro-cefalia,HP:0000256,,0.409,0,0,[],[]
exact,ORT-03,orthographic_variation,estrabísmo,HP:0000486,1,0.432,1,0,[],"[""HP:0000486""]"
exact,ORT-04,orthographic_variation,catarata.,HP:0000518,1,0.407,1,0,[],"[""HP:0000518""]"
exact,ORT-05,orthographic_variation,CEGUEIRA,HP:0000618,1,0.404,1,0,[],"[""HP:0000618""]"
exact,ORT-06,orthographic_variation,hipertensao,HP:0000822,1,0.502,1,0,[],"[""HP:0000822""]"
exact,ORT-07,orthographic_variation,escoliose toracica,HP:0002943,1,0.396,1,0,[],"[""HP:0002943""]"
exact,ORT-08,orthographic_variation,fraquesa muscular generalizada,HP:0003324,,0.372,0,0,[],[]
exact,ORT-09,orthographic_variation,dor-lombar,HP:0003419,1,0.392,1,0,[],"[""HP:0003419""]"
exact,ORT-10,orthographic_variation,baixa-estatura,HP:0004322,1,0.422,1,0,[],"[""HP:0004322""]"
exact,PAR-01,clinical_paraphrase,cabeça menor que o esperado para a idade,HP:0000252,,0.431,0,0,[],[]
exact,PAR-02,clinical_paraphrase,cabeça aumentada para a idade,HP:0000256,,0.413,0,0,[],[]
exact,PAR-03,clinical_paraphrase,desvio persistente dos olhos,HP:0000486,,0.426,0,0,[],[]
exact,PAR-04,clinical_paraphrase,opacidade do cristalino,HP:0000518,,0.403,0,0,[],[]
exact,PAR-05,clinical_paraphrase,ausência de visão,HP:0000618,,0.399,0,0,[],[]
exact,PAR-06,clinical_paraphrase,pressão arterial elevada,HP:0000822,,0.349,0,0,[],[]
exact,PAR-07,clinical_paraphrase,curvatura lateral da coluna na região torácica,HP:0002943,,0.378,0,0,[],[]
exact,PAR-08,clinical_paraphrase,fraqueza em todos os grupos musculares,HP:0003324,,0.412,0,0,[],[]
exact,PAR-09,clinical_paraphrase,dor na região inferior das costas,HP:0003419,,0.424,0,0,[],[]
exact,PAR-10,clinical_paraphrase,altura abaixo do esperado para a idade,HP:0004322,,0.443,0,0,[],[]
fuzzy,OFF-01,official_label,Microcefalia,HP:0000252,1,80.534,20,0,[],"[""HP:0000252"", ""HP:0000256"", ""HP:0000253"", ""HP:0000238"", ""HP:0000568""]"
fuzzy,OFF-02,official_label,Macrocefalia,HP:0000256,1,78.875,20,0,[],"[""HP:0000256"", ""HP:0000252"", ""HP:0004481"", ""HP:0004482"", ""HP:0004488""]"
fuzzy,OFF-03,official_label,Estrabismo,HP:0000486,1,77.439,20,0,[],"[""HP:0000486"", ""HP:0020043"", ""HP:0020044"", ""HP:0020049"", ""HP:0025068""]"
fuzzy,OFF-04,official_label,Catarata,HP:0000518,1,72.128,20,0,[],"[""HP:0000518"", ""HP:0000519"", ""HP:0000523"", ""HP:0007648"", ""HP:0007657""]"
fuzzy,OFF-05,official_label,Cegueira,HP:0000618,1,74.814,20,0,[],"[""HP:0000618"", ""HP:0007642"", ""HP:0007675"", ""HP:0007830"", ""HP:0007875""]"
fuzzy,OFF-06,official_label,Hipertensão,HP:0000822,1,76.707,20,0,[],"[""HP:0000822"", ""HP:0007906"", ""HP:0008071"", ""HP:0030950"", ""HP:0032547""]"
fuzzy,OFF-07,official_label,Escoliose torácica,HP:0002943,1,248.2,20,0,[],"[""HP:0002943"", ""HP:0006589"", ""HP:0012727"", ""HP:0012728"", ""HP:0012729""]"
fuzzy,OFF-08,official_label,Fraqueza muscular generalizada,HP:0003324,1,79.269,20,0,[],"[""HP:0003324"", ""HP:0012837"", ""HP:0003325"", ""HP:0003392"", ""HP:0003394""]"
fuzzy,OFF-09,official_label,Dor lombar,HP:0003419,1,79.787,20,0,[],"[""HP:0003419"", ""HP:0012531"", ""HP:0002938"", ""HP:0004589"", ""HP:0004610""]"
fuzzy,OFF-10,official_label,Baixa estatura,HP:0004322,1,80.664,20,0,[],"[""HP:0004322"", ""HP:0003502"", ""HP:0003498"", ""HP:0003508"", ""HP:0003510""]"
fuzzy,ORT-01,orthographic_variation,micro cefalia,HP:0000252,1,85.039,20,0,[],"[""HP:0000252"", ""HP:0000256"", ""HP:0000253"", ""HP:0032561"", ""HP:0000238""]"
fuzzy,ORT-02,orthographic_variation,macro-cefalia,HP:0000256,1,80.703,20,0,[],"[""HP:0000256"", ""HP:0000252"", ""HP:0004481"", ""HP:0004482"", ""HP:0004488""]"
fuzzy,ORT-03,orthographic_variation,estrabísmo,HP:0000486,1,103.17,20,0,[],"[""HP:0000486"", ""HP:0020043"", ""HP:0020044"", ""HP:0020049"", ""HP:0025068""]"
fuzzy,ORT-04,orthographic_variation,catarata.,HP:0000518,1,73.348,20,0,[],"[""HP:0000518"", ""HP:0000519"", ""HP:0000523"", ""HP:0007648"", ""HP:0007657""]"
fuzzy,ORT-05,orthographic_variation,CEGUEIRA,HP:0000618,1,77.684,20,0,[],"[""HP:0000618"", ""HP:0007642"", ""HP:0007675"", ""HP:0007830"", ""HP:0007875""]"
fuzzy,ORT-06,orthographic_variation,hipertensao,HP:0000822,1,80.487,20,0,[],"[""HP:0000822"", ""HP:0007906"", ""HP:0008071"", ""HP:0030950"", ""HP:0032547""]"
fuzzy,ORT-07,orthographic_variation,escoliose toracica,HP:0002943,1,82.171,20,0,[],"[""HP:0002943"", ""HP:0006589"", ""HP:0012727"", ""HP:0012728"", ""HP:0012729""]"
fuzzy,ORT-08,orthographic_variation,fraquesa muscular generalizada,HP:0003324,1,99.438,20,0,[],"[""HP:0003324"", ""HP:0012837"", ""HP:0003325"", ""HP:0003394"", ""HP:0003397""]"
fuzzy,ORT-09,orthographic_variation,dor-lombar,HP:0003419,1,86.779,20,0,[],"[""HP:0003419"", ""HP:0012531"", ""HP:0002938"", ""HP:0004589"", ""HP:0004610""]"
fuzzy,ORT-10,orthographic_variation,baixa-estatura,HP:0004322,1,80.495,20,0,[],"[""HP:0004322"", ""HP:0003502"", ""HP:0003498"", ""HP:0003508"", ""HP:0003510""]"
fuzzy,PAR-01,clinical_paraphrase,cabeça menor que o esperado para a idade,HP:0000252,,112.728,20,0,[],"[""HP:0000234"", ""HP:0003083"", ""HP:0003248"", ""HP:0003403"", ""HP:0003456""]"
fuzzy,PAR-02,clinical_paraphrase,cabeça aumentada para a idade,HP:0000256,,88.022,20,0,[],"[""HP:0000234"", ""HP:0002929"", ""HP:0003023"", ""HP:0003248"", ""HP:0003262""]"
fuzzy,PAR-03,clinical_paraphrase,desvio persistente dos olhos,HP:0000486,,87.367,20,0,[],"[""HP:0002971"", ""HP:0003020"", ""HP:0003023"", ""HP:0003105"", ""HP:0003443""]"
fuzzy,PAR-04,clinical_paraphrase,opacidade do cristalino,HP:0000518,,71.5,20,0,[],"[""HP:0000010"", ""HP:0000077"", ""HP:0000080"", ""HP:0000095"", ""HP:0000177""]"
fuzzy,PAR-05,clinical_paraphrase,ausência de visão,HP:0000618,,240.792,20,0,[],"[""HP:0010305"", ""HP:0000042"", ""HP:0000111"", ""HP:0000127"", ""HP:0000198""]"
fuzzy,PAR-06,clinical_paraphrase,pressão arterial elevada,HP:0000822,,80.483,20,0,[],"[""HP:0004421"", ""HP:0002851"", ""HP:0002910"", ""HP:0002925"", ""HP:0003155""]"
fuzzy,PAR-07,clinical_paraphrase,curvatura lateral da coluna na região torácica,HP:0002943,,106.669,20,0,[],"[""HP:0000002"", ""HP:0000009"", ""HP:0000014"", ""HP:0000041"", ""HP:0000042""]"
fuzzy,PAR-08,clinical_paraphrase,fraqueza em todos os grupos musculares,HP:0003324,,81.969,20,0,[],"[""HP:0000001"", ""HP:0000049"", ""HP:0000052"", ""HP:0000085"", ""HP:0000298""]"
fuzzy,PAR-09,clinical_paraphrase,dor na região inferior das costas,HP:0003419,14,82.31,20,0,[],"[""HP:0000199"", ""HP:0000452"", ""HP:0000453"", ""HP:0000531"", ""HP:0002783""]"
fuzzy,PAR-10,clinical_paraphrase,altura abaixo do esperado para a idade,HP:0004322,,84.038,20,0,[],"[""HP:0000069"", ""HP:0000071"", ""HP:0000077"", ""HP:0000137"", ""HP:0000185""]"
bm25,OFF-01,official_label,Microcefalia,HP:0000252,1,3.369,2,0,[],"[""HP:0000252"", ""HP:0000253""]"
bm25,OFF-02,official_label,Macrocefalia,HP:0000256,1,2.973,4,0,[],"[""HP:0000256"", ""HP:0004481"", ""HP:0004482"", ""HP:0004488""]"
bm25,OFF-03,official_label,Estrabismo,HP:0000486,1,2.673,6,0,[],"[""HP:0000486"", ""HP:0020049"", ""HP:0025069"", ""HP:0020043"", ""HP:0020044""]"
bm25,OFF-04,official_label,Catarata,HP:0000518,1,2.84,20,0,[],"[""HP:0000518"", ""HP:0000519"", ""HP:0000523"", ""HP:0007648"", ""HP:0007834""]"
bm25,OFF-05,official_label,Cegueira,HP:0000618,1,2.87,5,0,[],"[""HP:0000618"", ""HP:0007875"", ""HP:0007675"", ""HP:0007642"", ""HP:0007830""]"
bm25,OFF-06,official_label,Hipertensão,HP:0000822,1,2.903,4,0,[],"[""HP:0000822"", ""HP:0007906"", ""HP:0008071"", ""HP:0030950""]"
bm25,OFF-07,official_label,Escoliose torácica,HP:0002943,1,4.077,10,0,[],"[""HP:0002943"", ""HP:0002944"", ""HP:0004626"", ""HP:0002942"", ""HP:0004592""]"
bm25,OFF-08,official_label,Fraqueza muscular generalizada,HP:0003324,1,5.574,20,0,[],"[""HP:0003324"", ""HP:0000467"", ""HP:0003323"", ""HP:0003327"", ""HP:0003427""]"
bm25,OFF-09,official_label,Dor lombar,HP:0003419,1,4.183,20,0,[],"[""HP:0003419"", ""HP:0002938"", ""HP:0004619"", ""HP:0004626"", ""HP:0012531""]"
bm25,OFF-10,official_label,Baixa estatura,HP:0004322,1,4.123,20,0,[],"[""HP:0004322"", ""HP:0003498"", ""HP:0003502"", ""HP:0003508"", ""HP:0003510""]"
bm25,ORT-01,orthographic_variation,micro cefalia,HP:0000252,,4.188,0,0,[],[]
bm25,ORT-02,orthographic_variation,macro-cefalia,HP:0000256,,3.991,1,0,[],"[""HP:0000053""]"
bm25,ORT-03,orthographic_variation,estrabísmo,HP:0000486,1,2.662,6,0,[],"[""HP:0000486"", ""HP:0020049"", ""HP:0025069"", ""HP:0020043"", ""HP:0020044""]"
bm25,ORT-04,orthographic_variation,catarata.,HP:0000518,1,2.847,20,0,[],"[""HP:0000518"", ""HP:0000519"", ""HP:0000523"", ""HP:0007648"", ""HP:0007834""]"
bm25,ORT-05,orthographic_variation,CEGUEIRA,HP:0000618,1,2.95,5,0,[],"[""HP:0000618"", ""HP:0007875"", ""HP:0007675"", ""HP:0007642"", ""HP:0007830""]"
bm25,ORT-06,orthographic_variation,hipertensao,HP:0000822,1,2.994,4,0,[],"[""HP:0000822"", ""HP:0007906"", ""HP:0008071"", ""HP:0030950""]"
bm25,ORT-07,orthographic_variation,escoliose toracica,HP:0002943,1,3.867,10,0,[],"[""HP:0002943"", ""HP:0002944"", ""HP:0004626"", ""HP:0002942"", ""HP:0004592""]"
bm25,ORT-08,orthographic_variation,fraquesa muscular generalizada,HP:0003324,1,5.84,20,0,[],"[""HP:0003324"", ""HP:0003720"", ""HP:0009055"", ""HP:0012837"", ""HP:0002909""]"
bm25,ORT-09,orthographic_variation,dor-lombar,HP:0003419,1,4.123,20,0,[],"[""HP:0003419"", ""HP:0002938"", ""HP:0004619"", ""HP:0004626"", ""HP:0012531""]"
bm25,ORT-10,orthographic_variation,baixa-estatura,HP:0004322,1,4.493,20,0,[],"[""HP:0004322"", ""HP:0003498"", ""HP:0003502"", ""HP:0003508"", ""HP:0003510""]"
bm25,PAR-01,clinical_paraphrase,cabeça menor que o esperado para a idade,HP:0000252,,14.709,20,0,[],"[""HP:0003561"", ""HP:0009107"", ""HP:0009108"", ""HP:0002805"", ""HP:0007369""]"
bm25,PAR-02,clinical_paraphrase,cabeça aumentada para a idade,HP:0000256,,10.89,20,0,[],"[""HP:0002805"", ""HP:0003831"", ""HP:0025009"", ""HP:0034019"", ""HP:0003581""]"
bm25,PAR-03,clinical_paraphrase,desvio persistente dos olhos,HP:0000486,,11.829,20,0,[],"[""HP:0030857"", ""HP:0012621"", ""HP:0007570"", ""HP:0009917"", ""HP:0004474""]"
bm25,PAR-04,clinical_paraphrase,opacidade do cristalino,HP:0000518,,11.456,20,0,[],"[""HP:0007957"", ""HP:0000517"", ""HP:0008019"", ""HP:0008063"", ""HP:0034248""]"
bm25,PAR-05,clinical_paraphrase,ausência de visão,HP:0000618,,7.685,20,0,[],"[""HP:0000622"", ""HP:0000504"", ""HP:0000551"", ""HP:0030584"", ""HP:0010305""]"
bm25,PAR-06,clinical_paraphrase,pressão arterial elevada,HP:0000822,,6.22,20,0,[],"[""HP:0004421"", ""HP:0030972"", ""HP:0033119"", ""HP:0003207"", ""HP:0004420""]"
bm25,PAR-07,clinical_paraphrase,curvatura lateral da coluna na região torácica,HP:0002943,3,13.726,20,0,[],"[""HP:0010674"", ""HP:0002942"", ""HP:0002943"", ""HP:0004592"", ""HP:0006644""]"
bm25,PAR-08,clinical_paraphrase,fraqueza em todos os grupos musculares,HP:0003324,13,10.447,20,0,[],"[""HP:0006165"", ""HP:0000001"", ""HP:0009880"", ""HP:0033045"", ""HP:0003704""]"
bm25,PAR-09,clinical_paraphrase,dor na região inferior das costas,HP:0003419,7,9.729,20,0,[],"[""HP:0003418"", ""HP:0007521"", ""HP:0012514"", ""HP:0030811"", ""HP:0012531""]"
bm25,PAR-10,clinical_paraphrase,altura abaixo do esperado para a idade,HP:0004322,,12.196,20,0,[],"[""HP:0002805"", ""HP:0003831"", ""HP:0000002"", ""HP:0004570"", ""HP:0004581""]"
semantic,OFF-01,official_label,Microcefalia,HP:0000252,1,45.567,20,0,[],"[""HP:0000252"", ""HP:0000253"", ""HP:0030260"", ""HP:0000482"", ""HP:0000568""]"
semantic,OFF-02,official_label,Macrocefalia,HP:0000256,1,42.491,20,0,[],"[""HP:0000256"", ""HP:0000158"", ""HP:0004099"", ""HP:0000400"", ""HP:0032566""]"
semantic,OFF-03,official_label,Estrabismo,HP:0000486,1,43.96,20,0,[],"[""HP:0000486"", ""HP:0025069"", ""HP:0020049"", ""HP:0025068"", ""HP:0000316""]"
semantic,OFF-04,official_label,Catarata,HP:0000518,1,44.275,20,0,[],"[""HP:0000518"", ""HP:0010695"", ""HP:0007819"", ""HP:0007976"", ""HP:0007648""]"
semantic,OFF-05,official_label,Cegueira,HP:0000618,1,40.314,20,0,[],"[""HP:0000618"", ""HP:0007875"", ""HP:0007675"", ""HP:0000504"", ""HP:0007830""]"
semantic,OFF-06,official_label,Hipertensão,HP:0000822,1,41.289,20,0,[],"[""HP:0000822"", ""HP:0003297"", ""HP:0003781"", ""HP:0002883"", ""HP:0003296""]"
semantic,OFF-07,official_label,Escoliose torácica,HP:0002943,1,44.355,20,0,[],"[""HP:0002943"", ""HP:0020083"", ""HP:0002942"", ""HP:0010561"", ""HP:0030793""]"
semantic,OFF-08,official_label,Fraqueza muscular generalizada,HP:0003324,1,43.796,20,0,[],"[""HP:0003324"", ""HP:0003701"", ""HP:0003427"", ""HP:0003323"", ""HP:0009063""]"
semantic,OFF-09,official_label,Dor lombar,HP:0003419,1,42.151,20,0,[],"[""HP:0003419"", ""HP:0004626"", ""HP:0002938"", ""HP:0004619"", ""HP:0004283""]"
semantic,OFF-10,official_label,Baixa estatura,HP:0004322,1,42.187,20,0,[],"[""HP:0004322"", ""HP:0003502"", ""HP:0003510"", ""HP:0003882"", ""HP:0030917""]"
semantic,ORT-01,orthographic_variation,micro cefalia,HP:0000252,2,42.029,20,0,[],"[""HP:0000253"", ""HP:0000252"", ""HP:0033989"", ""HP:0004734"", ""HP:0030260""]"
semantic,ORT-02,orthographic_variation,macro-cefalia,HP:0000256,2,199.163,20,0,[],"[""HP:0000253"", ""HP:0000256"", ""HP:0010636"", ""HP:0033011"", ""HP:0000400""]"
semantic,ORT-03,orthographic_variation,estrabísmo,HP:0000486,,41.554,20,0,[],"[""HP:0000565"", ""HP:0034375"", ""HP:0020046"", ""HP:0003902"", ""HP:0000039""]"
semantic,ORT-04,orthographic_variation,catarata.,HP:0000518,3,43.414,20,0,[],"[""HP:0010695"", ""HP:0007648"", ""HP:0000518"", ""HP:0032564"", ""HP:0007976""]"
semantic,ORT-05,orthographic_variation,CEGUEIRA,HP:0000618,,42.392,20,0,[],"[""HP:0002919"", ""HP:0003131"", ""HP:0012835"", ""HP:0030249"", ""HP:0000017""]"
semantic,ORT-06,orthographic_variation,hipertensao,HP:0000822,5,42.037,20,0,[],"[""HP:0010765"", ""HP:0030812"", ""HP:0006276"", ""HP:0006516"", ""HP:0000822""]"
semantic,ORT-07,orthographic_variation,escoliose toracica,HP:0002943,,41.758,20,0,[],"[""HP:0010561"", ""HP:0008080"", ""HP:0033088"", ""HP:0034270"", ""HP:0003870""]"
semantic,ORT-08,orthographic_variation,fraquesa muscular generalizada,HP:0003324,1,43.485,20,0,[],"[""HP:0003324"", ""HP:0003701"", ""HP:0003427"", ""HP:0003473"", ""HP:0003323""]"
semantic,ORT-09,orthographic_variation,dor-lombar,HP:0003419,,42.759,20,0,[],"[""HP:0020083"", ""HP:0000246"", ""HP:0010561"", ""HP:0032510"", ""HP:0003691""]"
semantic,ORT-10,orthographic_variation,baixa-estatura,HP:0004322,2,44.531,20,0,[],"[""HP:0003502"", ""HP:0004322"", ""HP:0030917"", ""HP:0010111"", ""HP:0003510""]"
semantic,PAR-01,clinical_paraphrase,cabeça menor que o esperado para a idade,HP:0000252,,45.486,20,0,[],"[""HP:0004485"", ""HP:0000234"", ""HP:0000064"", ""HP:0000240"", ""HP:0003887""]"
semantic,PAR-02,clinical_paraphrase,cabeça aumentada para a idade,HP:0000256,,44.611,20,0,[],"[""HP:0004485"", ""HP:0000234"", ""HP:0007495"", ""HP:0003799"", ""HP:0002805""]"
semantic,PAR-03,clinical_paraphrase,desvio persistente dos olhos,HP:0000486,,44.11,20,0,[],"[""HP:0007738"", ""HP:0030857"", ""HP:0000478"", ""HP:0010727"", ""HP:0007906""]"
semantic,PAR-04,clinical_paraphrase,opacidade do cristalino,HP:0000518,,45.227,20,0,[],"[""HP:0003929"", ""HP:0007957"", ""HP:0000517"", ""HP:0008019"", ""HP:0008063""]"
semantic,PAR-05,clinical_paraphrase,ausência de visão,HP:0000618,5,43.061,20,0,[],"[""HP:0000504"", ""HP:0000551"", ""HP:0000505"", ""HP:0000572"", ""HP:0000618""]"
semantic,PAR-06,clinical_paraphrase,pressão arterial elevada,HP:0000822,,44.536,20,0,[],"[""HP:0004421"", ""HP:0030972"", ""HP:0030852"", ""HP:0020142"", ""HP:0020141""]"
semantic,PAR-07,clinical_paraphrase,curvatura lateral da coluna na região torácica,HP:0002943,,46.628,20,0,[],"[""HP:0007733"", ""HP:0003865"", ""HP:0003921"", ""HP:0003306"", ""HP:0007933""]"
semantic,PAR-08,clinical_paraphrase,fraqueza em todos os grupos musculares,HP:0003324,1,43.759,20,0,[],"[""HP:0003324"", ""HP:0003427"", ""HP:0003473"", ""HP:0003484"", ""HP:0003701""]"
semantic,PAR-09,clinical_paraphrase,dor na região inferior das costas,HP:0003419,,45.775,20,0,[],"[""HP:0007328"", ""HP:0007021"", ""HP:0003733"", ""HP:0034373"", ""HP:0006895""]"
semantic,PAR-10,clinical_paraphrase,altura abaixo do esperado para a idade,HP:0004322,12,204.341,20,0,[],"[""HP:0007495"", ""HP:0008197"", ""HP:0002805"", ""HP:0031087"", ""HP:0003799""]"
hybrid,OFF-01,official_label,Microcefalia,HP:0000252,1,0.556,1,0,[],"[""HP:0000252""]"
hybrid,OFF-02,official_label,Macrocefalia,HP:0000256,1,0.426,1,0,[],"[""HP:0000256""]"
hybrid,OFF-03,official_label,Estrabismo,HP:0000486,1,0.449,1,0,[],"[""HP:0000486""]"
hybrid,OFF-04,official_label,Catarata,HP:0000518,1,0.439,1,0,[],"[""HP:0000518""]"
hybrid,OFF-05,official_label,Cegueira,HP:0000618,1,0.461,1,0,[],"[""HP:0000618""]"
hybrid,OFF-06,official_label,Hipertensão,HP:0000822,1,0.469,1,0,[],"[""HP:0000822""]"
hybrid,OFF-07,official_label,Escoliose torácica,HP:0002943,1,0.517,1,0,[],"[""HP:0002943""]"
hybrid,OFF-08,official_label,Fraqueza muscular generalizada,HP:0003324,1,0.531,1,0,[],"[""HP:0003324""]"
hybrid,OFF-09,official_label,Dor lombar,HP:0003419,1,0.436,1,0,[],"[""HP:0003419""]"
hybrid,OFF-10,official_label,Baixa estatura,HP:0004322,1,0.457,1,0,[],"[""HP:0004322""]"
hybrid,ORT-01,orthographic_variation,micro cefalia,HP:0000252,1,134.727,20,0,[],"[""HP:0000252"", ""HP:0000253"", ""HP:0030260"", ""HP:0000256"", ""HP:0033989""]"
hybrid,ORT-02,orthographic_variation,macro-cefalia,HP:0000256,1,134.918,20,0,[],"[""HP:0000256"", ""HP:0000253"", ""HP:0000252"", ""HP:0032456"", ""HP:0000053""]"
hybrid,ORT-03,orthographic_variation,estrabísmo,HP:0000486,1,0.549,1,0,[],"[""HP:0000486""]"
hybrid,ORT-04,orthographic_variation,catarata.,HP:0000518,1,0.476,1,0,[],"[""HP:0000518""]"
hybrid,ORT-05,orthographic_variation,CEGUEIRA,HP:0000618,1,0.428,1,0,[],"[""HP:0000618""]"
hybrid,ORT-06,orthographic_variation,hipertensao,HP:0000822,1,0.432,1,0,[],"[""HP:0000822""]"
hybrid,ORT-07,orthographic_variation,escoliose toracica,HP:0002943,1,0.425,1,0,[],"[""HP:0002943""]"
hybrid,ORT-08,orthographic_variation,fraquesa muscular generalizada,HP:0003324,1,137.688,20,0,[],"[""HP:0003324"", ""HP:0012837"", ""HP:0003325"", ""HP:0003720"", ""HP:0003394""]"
hybrid,ORT-09,orthographic_variation,dor-lombar,HP:0003419,1,0.584,1,0,[],"[""HP:0003419""]"
hybrid,ORT-10,orthographic_variation,baixa-estatura,HP:0004322,1,0.457,1,0,[],"[""HP:0004322""]"
hybrid,PAR-01,clinical_paraphrase,cabeça menor que o esperado para a idade,HP:0000252,,151.628,20,0,[],"[""HP:0000234"", ""HP:0003995"", ""HP:0003561"", ""HP:0004485"", ""HP:0003083""]"
hybrid,PAR-02,clinical_paraphrase,cabeça aumentada para a idade,HP:0000256,,143.024,20,0,[],"[""HP:0000234"", ""HP:0002805"", ""HP:0003831"", ""HP:0010731"", ""HP:0003799""]"
hybrid,PAR-03,clinical_paraphrase,desvio persistente dos olhos,HP:0000486,,138.82,20,0,[],"[""HP:0030857"", ""HP:0002971"", ""HP:0007738"", ""HP:0003020"", ""HP:0012621""]"
hybrid,PAR-04,clinical_paraphrase,opacidade do cristalino,HP:0000518,,129.1,20,0,[],"[""HP:0007957"", ""HP:0000517"", ""HP:0008019"", ""HP:0003929"", ""HP:0008063""]"
hybrid,PAR-05,clinical_paraphrase,ausência de visão,HP:0000618,12,131.069,20,0,[],"[""HP:0000551"", ""HP:0000504"", ""HP:0010305"", ""HP:0000622"", ""HP:0000198""]"
hybrid,PAR-06,clinical_paraphrase,pressão arterial elevada,HP:0000822,,296.338,20,0,[],"[""HP:0004421"", ""HP:0030972"", ""HP:0033119"", ""HP:0020142"", ""HP:0020141""]"
hybrid,PAR-07,clinical_paraphrase,curvatura lateral da coluna na região torácica,HP:0002943,10,153.374,20,0,[],"[""HP:0010674"", ""HP:0003306"", ""HP:0003031"", ""HP:0000002"", ""HP:0007733""]"
hybrid,PAR-08,clinical_paraphrase,fraqueza em todos os grupos musculares,HP:0003324,4,153.745,20,0,[],"[""HP:0003427"", ""HP:0003327"", ""HP:0000001"", ""HP:0003324"", ""HP:0003473""]"
hybrid,PAR-09,clinical_paraphrase,dor na região inferior das costas,HP:0003419,3,150.265,20,0,[],"[""HP:0003418"", ""HP:0007021"", ""HP:0003419"", ""HP:0000199"", ""HP:0007328""]"
hybrid,PAR-10,clinical_paraphrase,altura abaixo do esperado para a idade,HP:0004322,,147.74,20,0,[],"[""HP:0002805"", ""HP:0003831"", ""HP:0000002"", ""HP:0003799"", ""HP:0003581""]"
